,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,4.63380726714801,0.5722692554395721,3.2251545395932153,4.283462952940187,4.818133680271502,5.057535622136388,5.38068210881432,0.05564773801880611
a_std,0.6641495254108433,0.24949482398985595,0.2865114725923935,0.47860038240081965,0.6325711708209691,0.8132861808023326,1.2542319613763904,0.020743201998988728
a_subj.66,4.899176353736652,0.6713251519619052,3.5242724205159948,4.3234640991678965,5.052795086296616,5.3375150060541285,6.115448921778238,0.06676571549952716
a_subj.67,4.8704161567338,0.42692055304656906,3.888189106440064,4.641099426746352,4.883173437527213,5.109676479772462,5.7063670271819955,0.03368986540554932
a_subj.69,4.7229854001220515,0.733887540334003,2.85485966570748,4.332797899662592,4.742854680867307,5.197516296892765,6.092112283651827,0.07443896948285725
a_subj.70,4.4769169591908335,0.5703718636035793,2.8949672824196666,4.234476532159661,4.601590625111829,4.848672608506696,5.30086959929065,0.05719655449041853
a_subj.73,5.151129111094924,0.491815860938997,4.022886624852478,4.877540722122447,5.147126303458213,5.455801297518732,6.132832624805303,0.04945281237023183
a_subj.77,5.638616345358229,0.44100608505682004,4.885788373643095,5.334949902674594,5.623267782078781,5.911049555887299,6.599874640189102,0.03713594943963332
a_subj.80,4.779062771761968,0.519987044104751,3.838011761590083,4.447981716262575,4.786619707266,5.104586344611224,5.864903608284358,0.04864925798079447
a_subj.81,4.594444280130128,0.6462473897530606,3.1607905333761144,4.1355372781346444,4.624189715453303,5.070158584091797,5.7879009905583345,0.05712292322511103
a_subj.82,4.2282207527419144,0.8922669650505645,2.6207760726002878,3.4568422986114897,4.39655645518985,4.785856184234542,5.953225399265754,0.0787064901245853
a_subj.85,4.310046000807183,1.0321202237501164,2.046735966334584,3.2766192110571506,4.540952675848971,5.245598229510454,5.577331826927504,0.10328430339054995
a_subj.86,4.710832354276044,0.3585925072826323,4.016337139568385,4.462892706782076,4.737176965061969,4.945243800436618,5.394975089821459,0.03410535330368478
a_subj.88,4.55540465967427,1.2015455264864205,2.393088361383719,3.309123169291907,4.90727286653459,5.640587412408428,6.0969610799871905,0.12141772090153455
a_subj.94,4.030498639067615,0.584396251130211,2.507162302055726,3.8071377849322117,4.102895465756747,4.382280618485231,5.066849316761162,0.058254408288783734
