,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,4.5976667430802785,0.6383493308885929,3.1201941113050706,4.2675927984020525,4.74911726309439,5.086293342457358,5.417510446933545,0.0610571076920182
a_std,0.6628759064051724,0.24051503818370298,0.29088624881975655,0.4926821554654994,0.6420329092760088,0.8004671714788691,1.271095020197211,0.018299420045476196
a_subj.0,4.614741001882694,0.5070844175904212,3.6988209432043404,4.273236161053548,4.564731955790272,4.987930818493156,5.726890898943432,0.04429474350170718
a_subj.5,4.775795177580528,1.170186786800328,2.560768320040403,3.492108773931028,5.278447280870784,5.6274965944013475,6.25979717109983,0.11714252617026591
a_subj.7,4.7828670489118545,0.9320128993771909,2.918604966033403,4.293144419784272,5.018137077105728,5.500235815416638,6.027404639635429,0.09550932912303658
a_subj.10,4.236454791439176,0.8741943768903611,2.1317665162000017,3.826635139379434,4.320718885032437,4.885366887184775,5.522164093756298,0.08541055701612157
a_subj.12,4.711685619064552,0.7466019794513927,3.2461689635407858,4.242907467938929,4.786705637457426,5.147410761333146,6.34999676016471,0.07565600738999442
a_subj.18,4.5475947146084845,0.7266294021344988,3.2156764234747257,4.003626976200098,4.574497270851891,5.04441270934465,6.004547531177014,0.06672334913333976
a_subj.23,4.668142847706654,0.5109953850196802,3.559666580783294,4.374802196563425,4.762202597046196,5.0255503644031085,5.416646990372295,0.05127456807199186
a_subj.24,4.407736304405948,0.6967487106137767,3.0245732128241754,3.942119721467612,4.492073992024281,4.870500149950184,5.739664786405491,0.06939180013797844
a_subj.25,4.982571095081082,0.5562162984944409,3.8404694893220745,4.678720666308251,5.027972623908393,5.287742668473202,6.065520202187,0.05555854186361976
a_subj.27,5.583021222296755,0.8900165913142103,3.7886298361942554,4.909623973192985,5.739932872610383,6.174858770028902,7.192846667662668,0.09131103345838631
a_subj.33,4.541538745946017,0.5609169631002793,3.2282215302389017,4.256917663318688,4.507878367567724,4.925235051849457,5.530993127941227,0.05406972225811844
a_subj.34,4.099567615801258,1.0044834536327614,2.014187963967223,3.45522612596558,4.275349619197957,4.877922245606222,5.378198436592425,0.10045876514158403
a_subj.35,4.531398528753259,0.5466803673068654,3.4635144798468027,4.189217912878419,4.547491877368636,4.879163329971598,5.646119216939322,0.054049546391524095
v(-100.0),4.101259263984093,0.3639009382743669,3.4019194150277543,3.8575467297320896,4.093391463122856,4.351490743076481,4.816542058826025,0.013501974608640516
v(-25.0),3.306624939554473,0.349778271206059,2.6279962984389895,3.0583880462874298,3.3034041689482567,3.55604106797403,4.023935487657525,0.012299890894152796
v(-12.5),2.7168362615546267,0.35730643371339027,1.9785353363333342,2.4830618794540222,2.7290724041031633,2.9496131623561093,3.4118688263325065,0.012762277217415957
v(-6.25),1.9554998572441642,0.3724138405103893,1.2325562292023182,1.695172079717213,1.9530843264617528,2.211829919648336,2.678375176498499,0.013618554928640655
v(0.0),1.5433025253024681,0.3596245437347129,0.80292896356601,1.317767540000985,1.551505619650798,1.7560896916745774,2.267517958487414,0.012531785083934743
v(6.25),2.0237535253929733,0.3491770264372017,1.3323128796686368,1.8043452836322798,2.0257246436604275,2.2477907947367815,2.688503757823927,0.011997870723649735
v(12.5),2.5825800175407796,0.3704639745271367,1.8923798876749383,2.328621057210899,2.582494224785073,2.830101025429989,3.3255270981436555,0.013137343577960389
v(25.0),3.166974590800999,0.37008583455789257,2.46595495748167,2.9209498746400824,3.163281251265604,3.4150505748582907,3.889257720546265,0.012507087423929373
v(100.0),4.103095076746849,0.3566184348512034,3.3926420014638996,3.877609036714366,4.109999723270074,4.332242822710832,4.82650496128144,0.013613762815328109
v_std,1.2846505115036804,0.09562187502972269,1.1128403541400753,1.2206479116560085,1.2791653645966803,1.3480076681298625,1.4910676292110419,0.0044530712781866225
v_subj(-100.0).0.0,0.7413229848356994,0.12864143146742868,0.492491244401472,0.6604278826338872,0.7421606076318409,0.8244216463782951,0.9923893569212122,0.004466054942584636
v_subj(-100.0).5.0,3.4556736071021623,0.15675989685686595,3.166065761455245,3.345531427099246,3.4508211750648456,3.5627524399388855,3.739949746760895,0.008289353007867723
v_subj(-100.0).7.0,6.281458776186514,0.21490819294307995,5.885895496012174,6.130125394708088,6.279649825851991,6.425090114448457,6.740785167598485,0.011017534096715513
v_subj(-100.0).10.0,4.733113862133779,0.3166356551956509,4.13107619688248,4.518519038985691,4.724220315186289,4.937815255412012,5.389022951674267,0.011829311383843315
v_subj(-100.0).12.0,2.5206897816794154,0.1999725611428034,2.135923724843537,2.3813867559972115,2.5068487050888066,2.662012272864189,2.936192975348141,0.009514831129329226
v_subj(-100.0).18.0,2.9665053942413784,0.22138660053085302,2.5360966643167386,2.816340335701124,2.970222875069913,3.1070788907850972,3.3983054760599454,0.010479176539650062
v_subj(-100.0).23.0,4.6195588853426095,0.21840997770176523,4.1983737535351535,4.487841907996094,4.618634107636712,4.761388335106058,5.05755903394944,0.009404871822082338
v_subj(-100.0).24.0,4.760770143916149,0.3111960833994475,4.1234225803249736,4.553270836365132,4.7746866838008115,4.969151054764984,5.354170014359918,0.012934387991213853
v_subj(-100.0).25.0,1.2833910567973947,0.13679459215638184,1.032027434171529,1.1858001360887749,1.2774361393246767,1.374543801335295,1.580911062342977,0.006070901951223407
v_subj(-100.0).27.0,5.416376392886587,0.22491472883499514,4.94986692955945,5.273192502077474,5.426514079854956,5.573183287743407,5.835913537083844,0.015434400534707678
v_subj(-100.0).33.0,6.653937075949986,0.300409645967628,6.094696981083319,6.454003185055622,6.653771499701159,6.830569090983632,7.303222575656884,0.017304168191993718
v_subj(-100.0).34.0,7.412866208050087,0.2532134032268722,6.89631164110054,7.244859311978172,7.405633558855212,7.577414473727958,7.923428239016369,0.013109947451586026
v_subj(-100.0).35.0,2.622749921197406,0.21479207099377345,2.214006433238394,2.47247465108235,2.6242125515505057,2.771466971738268,3.048982076620285,0.010645284510735126
v_subj(-25.0).0.0,0.8376438193059569,0.11793549389571825,0.6151041997843322,0.7564675735002424,0.8359230818848091,0.9161704266996509,1.0713654329338698,0.0042559856815123035
v_subj(-25.0).5.0,3.132214571413598,0.17623646382651845,2.7879290289670733,3.017340933573176,3.127556341826031,3.249346244392299,3.47819228537473,0.007965709347856616
v_subj(-25.0).7.0,5.000289837153593,0.1786588545464039,4.647913505036624,4.886141823023237,5.004282668932064,5.122665315602648,5.34269237802516,0.008979639704170527
v_subj(-25.0).10.0,4.121369516462015,0.2511771425857518,3.6217444735722033,3.9507937398156603,4.120001216442876,4.289976135190799,4.610444952690418,0.012373839737249112
v_subj(-25.0).12.0,2.3716110658693776,0.2111469970175096,1.9757854698245711,2.221250003508095,2.3704538152740735,2.520631525672519,2.7778166549103216,0.009217572864493083
v_subj(-25.0).18.0,2.566044522811794,0.2024441252647323,2.181776440799702,2.430549621246371,2.553455725925435,2.698136934369251,2.999128012305313,0.01002394847217042
v_subj(-25.0).23.0,3.4299325569176236,0.19894439089193972,3.020155549708862,3.306827888358455,3.4293018820016394,3.5501888717014793,3.8560861426825297,0.007493443528130102
v_subj(-25.0).24.0,3.7859624435041126,0.28347345293515674,3.2283514886782667,3.5956059339577315,3.7897647455442405,3.9860853997465524,4.315565924955689,0.012208705811665069
v_subj(-25.0).25.0,1.30267034559713,0.13815183847173415,1.0311282390593182,1.2114007832418467,1.3009537233267159,1.398163991102098,1.5834486184038639,0.0061463488516027105
v_subj(-25.0).27.0,4.421656095523757,0.22128410514003835,3.9761150586742815,4.285223580368324,4.4227557977583345,4.565414501718459,4.8407699601488945,0.015404828221126026
v_subj(-25.0).33.0,4.521812858295007,0.3085903853380773,3.9086949534914863,4.308036689834986,4.5152731272767,4.725894873941962,5.166557421624693,0.016503705928306807
v_subj(-25.0).34.0,5.571271476078682,0.20863140178491776,5.199720743089085,5.415217070553177,5.563923558681154,5.702307800578504,6.015614997968504,0.013144853270093224
