,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,3.695841915288673,0.4781078648306805,2.726983364794059,3.39912366848137,3.6918081023653952,4.023997949586194,4.56089954922982,0.03770970670144179
a_std,1.0780153511113375,0.24498202145521633,0.6812473418063705,0.8985856171129569,1.0450581061296038,1.2210495246769881,1.6399373181924561,0.015410277974587844
a_subj.36,5.625878603847394,1.366035753070152,2.5773487446913035,4.996077293798635,5.857974804883289,6.706151850747947,7.482333799803318,0.13913114728083217
a_subj.38,3.681502768768803,0.5010074943566114,2.713918525637837,3.306921980475552,3.6657360932894574,4.074536601774197,4.657285303989221,0.04729396936643259
a_subj.40,3.3315619138342454,0.3239675615937844,2.661292038597124,3.1528876993162136,3.3441233986361896,3.550421686024656,3.9126105556538158,0.033097321772064724
a_subj.42,2.8272462346943854,0.5543466962799269,1.8855496189734402,2.5498774081056963,2.7664028421590365,3.1282182253428563,4.128851260426715,0.054957571167109254
a_subj.44,3.371850906765008,0.5530133509590253,2.653352192391138,2.965078860639135,3.274648165925611,3.5596597201922124,4.98185105644181,0.03696631727459683
a_subj.46,5.72651469841579,0.40914731724211323,5.033573883504177,5.461288736993222,5.669475422757895,5.925270441833099,6.823261565060733,0.03833867867833532
a_subj.48,2.9397200337720992,0.4085912042604745,2.182015102175969,2.6377338662308007,2.9318097974398305,3.270927212144122,3.695971211266637,0.03896134766460434
a_subj.49,4.557680694064376,0.3714558703951315,3.9756528161930875,4.290297877640204,4.4988158781658205,4.777445888518127,5.400085084506339,0.036355356285316096
a_subj.50,3.762006433591769,1.0595457193502456,2.3549223514057136,2.975260800232224,3.4632945925140413,4.253654874227351,5.963345553700634,0.08950560568293994
a_subj.52,2.4577666887321756,0.46899107769776427,1.683697392224867,2.1037464650414264,2.3333034047739423,2.859240580963309,3.356316966491587,0.04580268504981702
a_subj.53,2.908100959252347,0.6008905279941206,2.1113481883958527,2.5309245125594875,2.7732091309202747,3.1045755689774874,4.44309819389211,0.04120883946334296
a_subj.56,4.452511843114178,0.3792387085817727,3.7595988226174453,4.174392726339367,4.43152417701072,4.689139784532582,5.339989546637045,0.035477194641517204
a_subj.61,3.8591162061667315,0.8239490443586504,2.6993062212972645,3.256962353473032,3.5844831730308986,4.301003120022828,5.737161635247787,0.08520166813385632
a_subj.63,3.8198046725692323,0.6843093054244008,2.672452400492141,3.310318086767126,3.6750467188723652,4.263873750419843,5.344420451943123,0.06024103231028929
a_subj.64,3.9507850364345796,0.4939114931680323,3.1633687232612577,3.6128750629387225,3.851741254770336,4.236668721663907,5.099132036830563,0.036822871238812824
a_subj.65,3.4752710639906033,0.7589369722054329,1.9516839384088287,2.9482801171180992,3.683629953139862,4.041306285296037,4.75951269333833,0.07164693677790435
v(left.-100.0),4.036668278652059,0.34065318937092476,3.3806618930086336,3.8167078464593645,4.032789260421117,4.2690366344848725,4.731989178281259,0.011896490531569154
v(left.-25.0),3.416361369826235,0.32635188732851783,2.7899771801923494,3.2021951406543625,3.409833825728912,3.638195519610958,4.0704016985522244,0.012537008125556009
v(left.-12.5),3.0898282785228814,0.34662712494028053,2.4228488700168374,2.848309612676132,3.092125838412815,3.325256571698406,3.743800812872567,0.012069144040116112
v(left.-6.25),2.6263683378500464,0.33087238987789047,1.9369792623117252,2.4067474736003787,2.6224429919223744,2.844730825811576,3.2214502801318314,0.011882139827749372
v(left.0.0),2.5328809464582998,0.3313716040504298,1.8929759471483072,2.3122205445537487,2.5221314456261874,2.753578758044098,3.202544555397799,0.011282960805470829
v(left.6.25),2.628019734577741,0.35404700031446507,1.9634472171763637,2.385454969058289,2.629070030031152,2.8541260487907363,3.355025308280629,0.013327999181668274
v(left.12.5),3.245614474798594,0.35885310955917354,2.5435969528439486,3.00342169589013,3.237761593879474,3.4868167132229395,3.9532884118086917,0.01274373238196649
v(left.25.0),3.738947065680245,0.34486354430490124,3.0342195690238443,3.4972558665953253,3.7443214035079704,3.974703950891936,4.3825282347795405,0.010836406694011126
v(left.100.0),4.600062212111898,0.3458872686296839,3.911952103495287,4.357844206483061,4.6027404663473135,4.845235180058496,5.282535028759865,0.010987610204309835
v(right.-100.0),3.9269544243598595,0.34280084964163143,3.2563821467328817,3.692270331188721,3.9239731027095215,4.152580807959639,4.609590458966783,0.011460638937363297
v(right.-25.0),3.2797093097053405,0.3421201946058349,2.648985661452468,3.037148310575332,3.269018725617316,3.5319901468588952,3.9236013298679797,0.01283178653470191
v(right.-12.5),3.0512200002403516,0.3574812389052882,2.365142522210738,2.8118292966288787,3.0414150631781913,3.2984978131497784,3.7527369105680095,0.013525367215046224
v(right.-6.25),2.7120130145008745,0.3515193177760297,2.036630209640342,2.47577384295396,2.6988281233747182,2.9381519686610207,3.411096076300914,0.011052583440016053
v(right.0.0),2.5918537839056506,0.34773924686537755,1.9242768188530825,2.361618208634873,2.5829733005928466,2.815665936380929,3.301450235731022,0.012498443035774213
v(right.6.25),2.8023796026602064,0.3504624436019956,2.11979226918548,2.5601045188890783,2.8075097198924173,3.070867213687331,3.4752460447859588,0.011048133248189637
v(right.12.5),3.2173126471350035,0.3395190872378239,2.5547319147712324,2.972282637319702,3.2240622187529433,3.451778735825113,3.897357039173689,0.012236860241760256
v(right.25.0),4.025977858399753,0.3556490957104021,3.300986217696881,3.7903778585284646,4.048189465527586,4.26509677522746,4.671495240485288,0.011824908600907826
v(right.100.0),4.793283231272112,0.3432000099193453,4.09896952916821,4.564699885160387,4.804062706094587,5.023889928982793,5.4771327134624626,0.012175777996194924
v_std,1.3559223153194775,0.06455087109845782,1.2362565219434516,1.3110167171766873,1.3528251545357175,1.3986142826181678,1.4922919934797387,0.0035430650277941634
v_subj(left.-100.0).36,4.8723215152906665,0.21014716740175327,4.44875576227375,4.732634677596291,4.87705296329721,5.00134954418027,5.293401830814706,0.010021556765481523
v_subj(left.-100.0).38,3.0646939257671946,0.23785251990797573,2.6138356977439448,2.8999902388407053,3.0595585155998446,3.2266391107651176,3.5421815298680444,0.01040910991516759
v_subj(left.-100.0).40,4.281099433176147,0.24696669395195264,3.802611012364286,4.108116277868533,4.281347578955527,4.441036111456501,4.78960243291208,0.011394601663844645
v_subj(left.-100.0).42,4.294541062762033,0.3111779485980682,3.68275548698741,4.0879612720236365,4.2942983712135465,4.494476616135684,4.968791786437046,0.013158136987982048
v_subj(left.-100.0).44,4.766644669850674,0.21487487482873857,4.362697626194735,4.613955801090357,4.768008499078896,4.914248048030549,5.19642771288355,0.011534320464614339
v_subj(left.-100.0).46,0.5127332023658936,0.1448810131038714,0.2544778871225494,0.4116173287030538,0.5097759211200388,0.5997311940596145,0.822097405074891,0.004948877447016803
v_subj(left.-100.0).48,2.965261337052245,0.3056937405449875,2.3774831180341542,2.747588298809594,2.973476493291942,3.1854445419162536,3.5242973747671322,0.013719104632322569
v_subj(left.-100.0).49,3.063615064007854,0.18726060972630929,2.70195367253802,2.9362285333543454,3.058918700108839,3.189768492054799,3.4228227814841703,0.007822815140562997
v_subj(left.-100.0).50,5.437652889453931,0.2558672804254105,4.911991258544737,5.274761588373082,5.451036735336425,5.621560136392146,5.930938573437912,0.016114709407347758
v_subj(left.-100.0).52,5.229966006661051,0.3107238489715473,4.626539769600683,5.016284691420082,5.233543331907596,5.436170909927189,5.834027182579634,0.015319062011740886
v_subj(left.-100.0).53,4.330136626999291,0.3222026226162916,3.6730046480042446,4.115158452377897,4.330314759942549,4.549651018495884,4.959922973959966,0.015558298104176502
v_subj(left.-100.0).56,2.859794692082367,0.2922364143277855,2.2654191673158612,2.6603130370224526,2.8626210595518953,3.058429217228133,3.4315622445927128,0.00981285676643736
v_subj(left.-100.0).61,4.714193912475174,0.31449066966597633,4.098699793700474,4.500506776333465,4.721543379151976,4.916209225280325,5.323078595587617,0.013140794326052557
v_subj(left.-100.0).63,5.450996321930689,0.24346907199112014,4.984087676155225,5.285867767083308,5.449343790733153,5.620927830357931,5.9159885457445975,0.010606214321043713
v_subj(left.-100.0).64,4.044256491785697,0.38907022896000054,3.248451025928391,3.781542459878835,4.036834854082174,4.31177608492315,4.826663423240497,0.014007116780702286
